scenario_id,style_axis,input_text,style_A,style_B,content_checks,reference_text_A,reference_text_B,author_1_content_consistent,author_1_style_isolated,author_1_separation_sufficient,author_1_length_not_dominant,author_1_no_new_fact_or_contradiction,author_1_notes,author_2_content_consistent,author_2_style_isolated,author_2_separation_sufficient,author_2_length_not_dominant,author_2_no_new_fact_or_contradiction,author_2_notes,approval_status
concision_detail_007,concision_detail,请对方明天下午三点前确认会议时间是否合适。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,明天下午三点前；确认会议时间,,,,,,,,,,,,,,,external_pending
concision_detail_010,concision_detail,建议将旧电脑回收处理，避免电子垃圾污染环境。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,旧电脑回收；避免电子垃圾,,,,,,,,,,,,,,,external_pending
concision_detail_004,concision_detail,解释光合作用中植物如何将光能转化为化学能的过程。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,光合作用；光能转化；化学能,,,,,,,,,,,,,,,external_pending
concision_detail_021,concision_detail,阐述节约用水对生态环境的重要意义。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,节约用水；生态环境；重要意义,,,,,,,,,,,,,,,external_pending
concision_detail_012,concision_detail,列出购买笔记本电脑时需要关注的三个核心参数。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,购买笔记本电脑；三个核心参数,,,,,,,,,,,,,,,external_pending
concision_detail_014,concision_detail,介绍当地图书馆新开放的自习室预约流程。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,图书馆新自习室；预约流程,,,,,,,,,,,,,,,external_pending
concision_detail_027,concision_detail,描述智能手机电池维护的常见误区。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,智能手机；电池维护；常见误区,,,,,,,,,,,,,,,external_pending
concision_detail_002,concision_detail,介绍如何制定一份合理的周末家庭出游计划。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,制定周末出游计划；家庭出游,,,,,,,,,,,,,,,external_pending
concision_detail_040,concision_detail,说明新入职员工需要参加的培训课程与考核要求。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,培训课程；考核要求,,,,,,,,,,,,,,,external_pending
concision_detail_023,concision_detail,提供选购有机蔬菜的简单辨别技巧。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节,有机蔬菜；选购；辨别技巧,,,,,,,,,,,,,,,external_pending
emotion_apology_015,emotion_apology,孩子在学校误拿他人物品，家长需联系对方道歉并归还。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,孩子误拿物品；联系对方；道歉；归还,,,,,,,,,,,,,,,external_pending
emotion_apology_039,emotion_apology,航班延误通知发布后，部分旅客对补偿方案表示不满，需解释政策。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,航班延误；补偿方案；解释政策,,,,,,,,,,,,,,,external_pending
emotion_apology_016,emotion_apology,家庭聚餐因长辈迟到，其他成员需沟通调整座位安排。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,长辈迟到；沟通调整；座位安排,,,,,,,,,,,,,,,external_pending
emotion_apology_026,emotion_apology,孩子在学校不小心弄坏同学文具，家长需沟通处理并致歉。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,孩子弄坏文具；沟通处理；致歉,,,,,,,,,,,,,,,external_pending
