scenario_id,style_axis,selection_seed,purpose,input_text,style_A,style_B
concision_detail_007,concision_detail,20260915,shared_anchor,请对方明天下午三点前确认会议时间是否合适。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_010,concision_detail,20260915,shared_anchor,建议将旧电脑回收处理，避免电子垃圾污染环境。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_004,concision_detail,20260915,shared_anchor,解释光合作用中植物如何将光能转化为化学能的过程。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_021,concision_detail,20260915,shared_anchor,阐述节约用水对生态环境的重要意义。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_012,concision_detail,20260915,shared_anchor,列出购买笔记本电脑时需要关注的三个核心参数。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_014,concision_detail,20260915,shared_anchor,介绍当地图书馆新开放的自习室预约流程。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_027,concision_detail,20260915,shared_anchor,描述智能手机电池维护的常见误区。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_002,concision_detail,20260915,shared_anchor,介绍如何制定一份合理的周末家庭出游计划。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_040,concision_detail,20260915,shared_anchor,说明新入职员工需要参加的培训课程与考核要求。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_023,concision_detail,20260915,shared_anchor,提供选购有机蔬菜的简单辨别技巧。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
emotion_apology_015,emotion_apology,20260915,shared_anchor,孩子在学校误拿他人物品，家长需联系对方道歉并归还。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_039,emotion_apology,20260915,shared_anchor,航班延误通知发布后，部分旅客对补偿方案表示不满，需解释政策。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_016,emotion_apology,20260915,shared_anchor,家庭聚餐因长辈迟到，其他成员需沟通调整座位安排。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_026,emotion_apology,20260915,shared_anchor,孩子在学校不小心弄坏同学文具，家长需沟通处理并致歉。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_034,emotion_apology,20260915,shared_anchor,超市排队结账时间过长，顾客表达不满，店员需安抚并加开窗口。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_030,emotion_apology,20260915,shared_anchor,小区公共区域照明损坏，物业需向居民致歉并告知维修进度。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_019,emotion_apology,20260915,shared_anchor,因航班延误，航空公司需向乘客解释原因并提供后续安排。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_023,emotion_apology,20260915,shared_anchor,办公区空调故障影响工作，行政需向员工说明情况并致歉。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_037,emotion_apology,20260915,shared_anchor,家中水管突然破裂，物业需安抚情绪并告知维修预计到达时间。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_035,emotion_apology,20260915,shared_anchor,学生提交作业后系统未显示提交成功，需协助检查并重新提交。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
empathy_clinical_027,empathy_clinical,20260915,shared_anchor,公共办事窗口排队时间长，市民感到焦急并希望加快流程。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
empathy_clinical_022,empathy_clinical,20260915,shared_anchor,最近睡眠变差，白天精神不振，希望找到改善睡眠的方法。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
empathy_clinical_021,empathy_clinical,20260915,shared_anchor,孩子第一次独自过夜，家长既期待成长又担心安全。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
empathy_clinical_002,empathy_clinical,20260915,shared_anchor,社区新政策实施后，邻里对公共空间使用产生分歧，沟通困难。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
empathy_clinical_023,empathy_clinical,20260915,shared_anchor,连续加班后身体出现不适，担心影响工作状态，询问休息建议。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
empathy_clinical_003,empathy_clinical,20260915,shared_anchor,网购的商品与描述不符，商家推诿责任，感到失望和困惑。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
empathy_clinical_026,empathy_clinical,20260915,shared_anchor,学习新技能遇到瓶颈，学习者感到挫败并需要鼓励。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
empathy_clinical_013,empathy_clinical,20260915,shared_anchor,项目截止日期临近，感到进度滞后且压力很大，需要确认当前状态是否可行。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
