scenario_id,style_axis,selection_seed,purpose,input_text,style_A,style_B
concision_detail_032,concision_detail,20260916,prompt_temperature_robustness,阐述节能减排在日常生活中的具体实践方法。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_033,concision_detail,20260916,prompt_temperature_robustness,向社区申请垃圾分类投放点优化方案需提交周边人流数据与现有设施评估报告。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_008,concision_detail,20260916,prompt_temperature_robustness,简述如何安全保存和使用家用清洁剂。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_016,concision_detail,20260916,prompt_temperature_robustness,简述新型智能手机芯片的技术特点与性能提升。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
concision_detail_009,concision_detail,20260916,prompt_temperature_robustness,简述申请图书馆借阅证的基本流程和所需材料。,极简摘要，只保留必要信息,详尽说明，包含背景、原因、步骤或补充细节
emotion_apology_030,emotion_apology,20260916,prompt_temperature_robustness,小区公共区域照明损坏，物业需向居民致歉并告知维修进度。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_009,emotion_apology,20260916,prompt_temperature_robustness,公共交通班次取消影响出行计划，要求相关部门尽快提供替代路线指引。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_016,emotion_apology,20260916,prompt_temperature_robustness,家庭聚餐因长辈迟到，其他成员需沟通调整座位安排。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_031,emotion_apology,20260916,prompt_temperature_robustness,因配送延误导致物品未按时送达，需协调后续处理方案。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
emotion_apology_027,emotion_apology,20260916,prompt_temperature_robustness,装修施工噪音超出约定时间，物业需向邻居致歉并调整施工计划。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击
